PatchNumber,CuttingNumber,Elevation,Slope,Direction,Transect,Species,CapsuleCount,ShootLength,LeafSize,PatchSize,PatchesonCutting,CuttingLength,CuttingWidth,CuttingBranches,Lat,Long,In Herbarium?,In Fog Chamber?
24,5,1134,-65,S,coastal,,0,4.34,1.2,10.2,3,310.1,9.6,14,37.4117,122.2618,,
25,5,1134,-65,S,coastal,,0,2.74,2.34,14.6,3,310.1,9.6,14,37.4117,122.2618,,
26,5,1134,-65,S,coastal,,0,3.26,1.22,33.8,3,310.1,9.6,14,37.4117,122.2618,,
27,6,1134,-70,N,coastal,,0,6.59,4.7,270.9,8,168.3,8.1,13,37.4117,122.262,,
28,6,1134,-70,N,coastal,,0,3.34,2.77,128.4,8,168.3,8.1,13,37.4117,122.262,,
29,6,1134,-70,N,coastal,,0,5.49,1.37,158.4,8,168.3,8.1,13,37.4117,122.262,,
30,6,1134,-70,N,coastal,,0,9.9,2.47,314.2,8,168.3,8.1,13,37.4117,122.262,,
31,6,1134,-70,N,coastal,,0,4.28,3.04,12.8,8,168.3,8.1,13,37.4117,122.262,,
32,6,1134,-70,N,coastal,,0,5.73,1.36,122.9,8,168.3,8.1,13,37.4117,122.262,,
33,6,1134,-70,N,coastal,,0,5.26,4.12,51.7,8,168.3,8.1,13,37.4117,122.262,,
34,6,1134,-70,N,coastal,,0,3.68,1.34,93.6,8,168.3,8.1,13,37.4117,122.262,,
35,7,1123,-65,W,coastal,,0,14,3.18,149.5,10,356.7,12.3,4,37.4118,122.2624,,
36,7,1123,-65,W,coastal,,0,13.27,3.79,88.3,10,356.7,12.3,4,37.4118,122.2624,,
37,7,1123,-65,W,coastal,,0,14.11,5.62,120.9,10,356.7,12.3,4,37.4118,122.2624,,
38,7,1123,-65,W,coastal,,0,5.7,3.8,13,10,356.7,12.3,4,37.4118,122.2624,,
39,7,1123,-65,W,coastal,,0,6.34,1.66,65.4,10,356.7,12.3,4,37.4118,122.2624,,
40,7,1123,-65,W,coastal,,0,4.97,3.52,39.5,10,356.7,12.3,4,37.4118,122.2624,,
41,7,1123,-65,W,coastal,,0,5.11,0.7,90.9,10,356.7,12.3,4,37.4118,122.2624,,
42,7,1123,-65,W,coastal,,0,4.8,2.87,4.3,10,356.7,12.3,4,37.4118,122.2624,,
43,7,1123,-65,W,coastal,,0,4.5,1.62,18.9,10,356.7,12.3,4,37.4118,122.2624,,
44,7,1123,-65,W,coastal,,0,1.45,1.03,3.4,10,356.7,12.3,4,37.4118,122.2624,,
45,8A,1093,-88,S,coastal,,7,32.3,4.4,2538.6,6,356.3,25.6,5,37.68835,122.44002,,
46,8A,1093,-88,S,coastal,,15,18.1,3.75,737.9,6,356.3,25.6,5,37.68835,122.44002,,
47,8A,1093,-88,S,coastal,,0,6.03,3,166.6,6,356.3,25.6,5,37.68835,122.44002,,
48,8A,1093,-88,S,coastal,,2,4.79,1.84,239.1,6,356.3,25.6,5,37.68835,122.44002,,
49,8A,1093,-88,S,coastal,,4,5.57,2.83,112.1,6,356.3,25.6,5,37.68835,122.44002,,
50,8A,1093,-88,S,coastal,,0,3.64,1.4,46.5,6,356.3,25.6,5,37.68835,122.44002,,
51,8B,1093,-88,S,coastal,,1,3.93,1.57,31.3,6,357.8,11.1,5,37.68835,122.44002,,
52,8B,1093,-88,S,coastal,,0,4.28,1.23,15.2,6,357.8,11.1,5,37.68835,122.44002,,
53,8B,1093,-88,S,coastal,,0,3.47,1.6,18.2,6,357.8,11.1,5,37.68835,122.44002,,
54,8B,1093,-88,S,coastal,,2,3.71,2.34,39.3,6,357.8,11.1,5,37.68835,122.44002,,
55,8B,1093,-88,S,coastal,,1,4.26,2.26,71.4,6,357.8,11.1,5,37.68835,122.44002,,
56,8B,1093,-88,S,coastal,,0,2.21,1.47,26.8,6,357.8,11.1,5,37.68835,122.44002,,
57,9,1072,-70,S,coastal,,0,3.68,1.41,16.4,9,241,7.3,32,37.68831,122.44022,,
58,9,1072,-70,S,coastal,,5,6.08,4.12,280.5,9,241,7.3,32,37.68831,122.44022,,
59,9,1072,-70,S,coastal,,4,6.73,3.36,35.4,9,241,7.3,32,37.68831,122.44022,,
60,9,1072,-70,S,coastal,,0,4.91,1.54,166.2,9,241,7.3,32,37.68831,122.44022,,
61,9,1072,-70,S,coastal,,3,7.14,3.49,170.5,9,241,7.3,32,37.68831,122.44022,,
62,9,1072,-70,S,coastal,,2,5.71,1.58,170.3,9,241,7.3,32,37.68831,122.44022,,
63,9,1072,-70,S,coastal,,3,3.7,1.31,128.4,9,241,7.3,32,37.68831,122.44022,,
64,9,1072,-70,S,coastal,,1,4.76,2.13,38.2,9,241,7.3,32,37.68831,122.44022,,
65,9,1072,-70,S,coastal,,0,4.71,1.55,95.5,9,241,7.3,32,37.68831,122.44022,,
66,10,1031,,W,coastal,,0,14.31,3.48,1473.9,6,252.3,13.3,19,37.68921,122.44119,,
67,10,1031,,W,coastal,,0,12.51,2.08,107.4,6,252.3,13.3,19,37.68921,122.44119,,
68,10,1031,,W,coastal,,0,5.7,1.85,183.4,6,252.3,13.3,19,37.68921,122.44119,,
69,10,1031,,W,coastal,,0,4.7,1.92,109.9,6,252.3,13.3,19,37.68921,122.44119,,
70,10,1031,,W,coastal,,0,5.16,4.92,103.7,6,252.3,13.3,19,37.68921,122.44119,,
71,10,1031,,W,coastal,,0,7.18,2.4,378.3,6,252.3,13.3,19,37.68921,122.44119,,
72,11,1202,-60,NW,inland,,0,7.48,3.21,157.6,5,315.4,7.6,23,37.68897,122.43699,,
73,11,1202,-60,NW,inland,,0,19.09,4.47,215.3,5,315.4,7.6,23,37.68897,122.43699,,
74,11,1202,-60,NW,inland,,0,6.3,2.29,498.1,5,315.4,7.6,23,37.68897,122.43699,,
75,11,1202,-60,NW,inland,,0,9.65,1.92,44.8,5,315.4,7.6,23,37.68897,122.43699,,
76,11,1202,-60,NW,inland,,0,6.37,2.7,95.3,5,315.4,7.6,23,37.68897,122.43699,,
77,12,1194,-50,NW,inland,,0,6.22,3.01,744.4,7,265.3,6.2,2,37.68919,122.43663,,
78,12,1194,-50,NW,inland,,0,10.25,3.11,390.6,7,265.3,6.2,2,37.68919,122.43663,,
79,12,1194,-50,NW,inland,,0,2.47,1.88,670.9,7,265.3,6.2,2,37.68919,122.43663,,
80,12,1194,-50,NW,inland,,0,12.11,3.26,281.9,7,265.3,6.2,2,37.68919,122.43663,,
81,12,1194,-50,NW,inland,,0,5.38,2.08,139.6,7,265.3,6.2,2,37.68919,122.43663,,
82,12,1194,-50,NW,inland,,0,4.35,3.77,296.5,7,265.3,6.2,2,37.68919,122.43663,,
83,12,1194,-50,NW,inland,,0,4.29,2.08,69.2,7,265.3,6.2,2,37.68919,122.43663,,
84,13,1184,-60,NW,inland,,18,22.72,4.35,2631.3,6,384.6,9.7,4,37.6894,122.43619,,
85,13,1184,-60,NW,inland,,3,12.49,3.54,683.6,6,384.6,9.7,4,37.6894,122.43619,,
86,13,1184,-60,NW,inland,,5,16.38,3.69,748.1,6,384.6,9.7,4,37.6894,122.43619,,
87,13,1184,-60,NW,inland,,0,11.7,3.61,494.4,6,384.6,9.7,4,37.6894,122.43619,,
88,13,1184,-60,NW,inland,,0,2.86,1.57,34.2,6,384.6,9.7,4,37.6894,122.43619,,
89,13,1184,-60,NW,inland,,0,3.66,4.28,7.7,6,384.6,9.7,4,37.6894,122.43619,,
90,14,1169,-78,E,inland,,0,8.4,3.13,1569.7,7,200.2,6.7,35,37.68964,122.43595,,
91,14,1169,-78,E,inland,,0,7.47,1.53,231.4,7,200.2,6.7,35,37.68964,122.43595,,
92,14,1169,-78,E,inland,,1,10.45,2.83,126.8,7,200.2,6.7,35,37.68964,122.43595,,
93,14,1169,-78,E,inland,,0,4.13,3.76,256.2,7,200.2,6.7,35,37.68964,122.43595,,
94,14,1169,-78,E,inland,,0,3.51,2.33,91.1,7,200.2,6.7,35,37.68964,122.43595,,
95,14,1169,-78,E,inland,,0,5.1,2.62,423.3,7,200.2,6.7,35,37.68964,122.43595,,
96,14,1169,-78,E,inland,,0,4.62,2.13,86.8,7,200.2,6.7,35,37.68964,122.43595,,
97,15,1165,-75,S,inland,,0,5.44,1.53,146.1,8,325.2,10.3,27,37.68976,122.43561,,
98,15,1165,-75,S,inland,,4,11.1,2.83,95.2,8,325.2,10.3,27,37.68976,122.43561,,
99,15,1165,-75,S,inland,,2,18.09,2.22,853.7,8,325.2,10.3,27,37.68976,122.43561,,
100,15,1165,-75,S,inland,,2,13.65,1.67,1107.5,8,325.2,10.3,27,37.68976,122.43561,,
101,15,1165,-75,S,inland,,0,3.12,2.34,37.6,8,325.2,10.3,27,37.68976,122.43561,,
102,15,1165,-75,S,inland,,3,3.82,2.58,93.6,8,325.2,10.3,27,37.68976,122.43561,,
103,15,1165,-75,S,inland,,4,6.31,2.42,48.6,8,325.2,10.3,27,37.68976,122.43561,,
104,15,1165,-75,S,inland,,0,4.35,1.81,99.4,8,325.2,10.3,27,37.68976,122.43561,,
105,16,1155,-70,NE,inland,,5,12.33,2.33,913.7,4,265.6,3.3,2,37.68985,122.4351,,
106,16,1155,-70,NE,inland,,13,17.94,3.56,1096.7,4,265.6,3.3,2,37.68985,122.4351,,
107,16,1155,-70,NE,inland,,37,13.47,5.01,2383,4,265.6,3.3,2,37.68985,122.4351,,
108,16,1155,-70,NE,inland,,3,5.9,2.31,347.6,4,265.6,3.3,2,37.68985,122.4351,,
109,17,1141,-50,SE,inland,,0,10.86,2.54,115,16,234.6,11.2,49,37.68979,122.43481,,
110,17,1141,-50,SE,inland,,0,8.95,3.27,145.9,16,234.6,11.2,49,37.68979,122.43481,,
111,17,1141,-50,SE,inland,,0,5.45,2.24,12,16,234.6,11.2,49,37.68979,122.43481,,
112,17,1141,-50,SE,inland,,0,3.28,1.29,544.9,16,234.6,11.2,49,37.68979,122.43481,,
113,17,1141,-50,SE,inland,,0,3.74,2.12,20.9,16,234.6,11.2,49,37.68979,122.43481,,
114,17,1141,-50,SE,inland,,0,6,2.05,23.6,16,234.6,11.2,49,37.68979,122.43481,,
115,17,1141,-50,SE,inland,,0,10.67,3.45,17.2,16,234.6,11.2,49,37.68979,122.43481,,
116,17,1141,-50,SE,inland,,0,4.07,2.06,126.5,16,234.6,11.2,49,37.68979,122.43481,,
117,17,1141,-50,SE,inland,,0,4.17,2.32,8.6,16,234.6,11.2,49,37.68979,122.43481,,
118,17,1141,-50,SE,inland,,0,6.43,1.99,77,16,234.6,11.2,49,37.68979,122.43481,,
119,17,1141,-50,SE,inland,,0,3.04,0.89,34.7,16,234.6,11.2,49,37.68979,122.43481,,
120,17,1141,-50,SE,inland,,0,4.5,1.94,13.3,16,234.6,11.2,49,37.68979,122.43481,,
121,17,1141,-50,SE,inland,,0,10.17,5.4,5.6,16,234.6,11.2,49,37.68979,122.43481,,
122,17,1141,-50,SE,inland,,0,5.3,2.06,12.5,16,234.6,11.2,49,37.68979,122.43481,,
123,17,1141,-50,SE,inland,,0,10.52,3.67,7.2,16,234.6,11.2,49,37.68979,122.43481,,
124,17,1141,-50,SE,inland,,0,3.85,2.13,132.4,16,234.6,11.2,49,37.68979,122.43481,,
125,18,1128,-58,SE,inland,,0,17.99,2.94,913.1,9,204.8,8.6,57,37.69,122.43439,,
126,18,1128,-58,SE,inland,,0,10.68,3.01,256.4,9,204.8,8.6,57,37.69,122.43439,,
127,18,1128,-58,SE,inland,,0,4.83,2.72,217.4,9,204.8,8.6,57,37.69,122.43439,,
128,18,1128,-58,SE,inland,,0,17.14,3.64,584.7,9,204.8,8.6,57,37.69,122.43439,,
129,18,1128,-58,SE,inland,,0,16.96,1.74,208.1,9,204.8,8.6,57,37.69,122.43439,,
130,18,1128,-58,SE,inland,,0,7.72,2.12,60.4,9,204.8,8.6,57,37.69,122.43439,,
131,18,1128,-58,SE,inland,,0,11.26,4.33,119.2,9,204.8,8.6,57,37.69,122.43439,,
132,18,1128,-58,SE,inland,,0,4.4,3.18,83.8,9,204.8,8.6,57,37.69,122.43439,,
133,18,1128,-58,SE,inland,,0,4.82,2.36,87.7,9,204.8,8.6,57,37.69,122.43439,,
134,19,1120,-67,E,inland,,0,10.34,3.38,140.9,6,284.5,7.5,5,37.69028,122.4342,,
135,19,1120,-67,E,inland,,0,15.9,3.91,400.5,6,284.5,7.5,5,37.69028,122.4342,,
136,19,1120,-67,E,inland,,0,16.89,3.48,244.9,6,284.5,7.5,5,37.69028,122.4342,,
137,19,1120,-67,E,inland,,0,3.87,1.66,98.5,6,284.5,7.5,5,37.69028,122.4342,,
138,19,1120,-67,E,inland,,0,4.93,2.53,124.2,6,284.5,7.5,5,37.69028,122.4342,,
139,19,1120,-67,E,inland,,0,8.05,4.06,246.8,6,284.5,7.5,5,37.69028,122.4342,,
140,20,1108,-57,W,inland,,6,12.54,4.58,4006.1,7,245,5.5,4,37.69046,122.43453,,
141,20,1108,-57,W,inland,,0,6.39,3.17,743.8,7,245,5.5,4,37.69046,122.43453,,
142,20,1108,-57,W,inland,,2,14.62,3.23,666,7,245,5.5,4,37.69046,122.43453,,
143,20,1108,-57,W,inland,,1,3.48,2.53,742.3,7,245,5.5,4,37.69046,122.43453,,
144,20,1108,-57,W,inland,,0,3.37,2.31,26.7,7,245,5.5,4,37.69046,122.43453,,
145,20,1108,-57,W,inland,,0,5.44,2.97,10.8,7,245,5.5,4,37.69046,122.43453,,
146,20,1108,-57,W,inland,,0,8.13,0.81,28,7,245,5.5,4,37.69046,122.43453,,
